ID1,keyword,"grammar, context",An example of how this word is used:,French,French translation/meaning of the English example
5971,lunches,pl,"""lunches"" is the plural of:  lunch",déjeuners,
5977,machines,pl,"""machines"" is the plural of:  machine",machines,
5980,made,si,"""made"" is the past tense of:  make","fait, fabriqué",
5981,made out,si,"""made out"" is the past tense of:  make out","distingué, discerné",
5982,made up,si,"""made up"" is the past tense of:  make up","fabriqué, inventé, réconcilié",
5985,magazines,pl,"""magazines"" is the plural of:  magazine","magazines, revues",
5995,mailboxes,pl,"""mailboxes"" is the plural of:  mailbox",boîtes aux lettres,
5996,mailed,si,"""mailed"" is the past tense of:  mail","expédié, envoyé",
5999,mailmen,pl,"""mailmen"" is the plural of:  mailman","facteurs, factrices",
6003,main courses,pl,"""main courses"" is the plural of:  main course",plats principaux,
6034,managed,si,"""managed"" is the past tense of:  manage",,
6037,managers,pl,"""managers"" is the plural of:  manager","gérants, gérantes",
6046,manufacturers,pl,"""manufacturers"" is the plural of:  manufacturer","fabricants, fabricantes",
6053,many more,co,"""many more"" is the comparative of :  many",,
6055,maps,pl,"""maps"" is the plural of:  map","cartes, plans",
6057,marathons  marathon,pl,"""marathons"" is the plural of:  marathon",marathons,
6062,margins,pl,"""margins"" is the plural of:  margin",marges,
6069,marked down,si,"""marked down"" is the past tense of:  mark down","démarqué, baissé (le prix)",
6074,markets,pl,"""markets"" is the plural of:  market",marchés,
6076,married,si,"""married"" is the past tense of:  marry","épousé, marié",
6091,masterpieces,pl,"""masterpieces"" is the plural of:  masterpiece",chefs-d'œuvre,
6092,masts,pl,"""masts"" is the plural of:  mast",mâts,
6096,matched,si,"""matched"" is the past tense of:  match",assorti,
6097,matches,pl,"""matches"" is the plural of:  match","allumettes, matchs",
6102,materialized,si,"""materialized"" is the past tense of:  materialize",matérialisé,
6128,meals,pl,"""meals"" is the plural of:  meal",repas,
6137,meaner,co,"""meaner"" is the comparative of :  mean"," plus méchant(e)(s), hostile(s)",
6138,meanest,su,"""meanest"" is the superlative of: mean","le/la/les plus méchant(e)(s), hostile(s)",
6143,meanings,pl,"""meanings"" is the plural of:  meaning","sens, significations",
6146,meant,si,"""meant"" is the past tense of:  mean","signifié, (avoir) voulu",
6154,measured,si,"""measured"" is the past tense of:  measure",mesuré,
6156,measures,pl,"""measures"" is the plural of:  measure",mesures,
6160,medals,pl,"""medals"" is the plural of:  medal",medailles,
6180,meetings,pl,"""meetings"" is the plural of:  meeting",réunions,
6185,melted,si,"""melted"" is the past tense of:  melt",fondu,
6187,members,pl,"""members"" is the plural of:  member",membres,
6190,memories,pl,"""memories"" is the plural of:  memory",souvenirs,
6192,men,pl,"""men"" is the plural of:  man",hommes,
6194,mended,si,"""mended"" is the past tense of:  mend","raccommodé, reprisé, réparé",
6199,mentioned,si,"""mentioned"" is the past tense of:  mention",mentionné,
6202,meowed,si,"""meowed"" is the past tense of:  meow",miaulé,
6209,merged,si,"""merged"" is the past tense of:  merge","fusionné, mélangé",
6211,mergers,pl,"""mergers"" is the plural of:  merger",fusions,
6215,merited,si,"""merited"" is the past tense of:  merit",mérité,
6216,merrier,co,"""merrier"" is the comparative of :  merry","plus joyeux, joyeuse(s)",
6217,merriest,su,"""merriest"" is the superlative of:  merry","le/la/les plus joyeux, joyeuse(s)",
6224,messages,pl,"""messages"" is the plural of:  message",messages,
6225,messed,si,"""messed"" is the past tense of:  mess",(avoir) mis en désordre,
6226,messier,co,"""messier"" is the comparative of :  messy"," plus désordonné(e)(s), négligé(e)(s)",
6227,messiest,su,"""messiest"" is the superlative of:  messy","le/la/les plus désordonné(e)(s), négligé(e)(s)",
6231,met,si,"""met"" is the past tense of:  meet",rencontré,
6239,meter men,pl,"""meter men"" is the plural of:  meter man",,
6240,meters,pl,"""meters"" is the plural of:  meter",mètres,
6250,microphones,pl,"""microphones"" is the plural of:  microphone",microphones,
6260,migrated,si,"""migrated"" is the past tense of:  migrate","émigré, migré",
6264,milder,co,"""milder"" is the comparative of :  mild","plus léger(s), légère(s), doux, douce(s)",
6265,mildest,su,"""mildest"" is the superlative of:  mild","le/la/les plus léger(s), légère(s), doux, douce(s)",
6269,miles,pl,"""miles"" is the plural of:  mile",miles,
6277,millions,pl,"""millions"" is the plural of:  million",millions,
6287,minds,pl,"""minds"" is the plural of:  mind",esprits,
6295,ministers,pl,"""ministers"" is the plural of:  minister",ministres,
6306,minute (adjective),"adjective, size",A minute quantity is enough.,"une minuscule, infime quantité suffira",
6311,mirrored,si,"""mirrored"" is the past tense of:  mirror",refléter,
6313,misbehaved,si,"""misbehaved"" is the past tense of:  misbehave",(s'être) mal comporté,
6315,miscalculated,si,"""miscalculated"" is the past tense of:  miscalculate",(avoir) fait une erreur de calcul,
6321,misfiled,si,"""misfiled"" is the past tense of:  misfile",,
6324,mismanaged,si,"""mismanaged"" is the past tense of:  mismanage",,
6326,misplaced,si,"""misplaced"" is the past tense of:  misplace",,
6328,misread,si,"""misread"" is the past tense of:  misread",,
6331,missed,si,"""missed"" is the past tense of:  miss",manqué,
6335,missions,pl,"""missions"" is the plural of:  mission",missions,
6340,mistier,co,"""mistier"" is the comparative of :  misty",,
6341,mistiest,su,"""mistiest"" is the superlative of:  misty","le/la/les plus brumeux, brumeuse(s)",
6346,misunderstood,si,"""misunderstood"" is the past tense of:  misunderstand",(avoir) mal compris,
6351,mix-ups,pl,"""mix-ups"" is the plural of:  mix-up","confusions, méprises",
6352,mixed,si,"""mixed"" is the past tense of:  mix",mélangé,
6354,mixtures,pl,"""mixtures"" is the plural of:  mixture",mélanges,
6358,models,pl,"""models"" is the plural of:  model","mannequins, maquettes, modèles",
6362,modified,si,"""modified"" is the past tense of:  modify",modifié,
6369,moldings,pl,"""moldings"" is the plural of:  molding","moulures, moulages",
6373,moms,pl,"""moms"" is the plural of:  mom",mamans,
6380,months,pl,"""months"" is the plural of:  month",mois,
6387,mopeds,pl,"""mopeds"" is the plural of:  moped",cyclomoteurs,
6388,mopped,si,"""mopped"" is the past tense of:  mop","épongé, lavé (à l'eau)",
6405,mornings,pl,"""mornings"" is the plural of:  morning","matins, matinées",
6410,mothers,pl,"""mothers"" is the plural of:  mother",mères,
6413,motorcycles,pl,"""motorcycles"" is the plural of:  motorcycle","motos, motocyclettes",
6432,moved,si,"""moved"" is the past tense of:  move","bougé, déplacé, déménagé, ému",
6435,movies,pl,"""movies"" is the plural of:  movie",films,
6440,mowed,si,"""mowed"" is the past tense of:  mow",tondu,
6454,mummified,si,"""mummified"" is the past tense of:  mummify",momifié,
6458,munched,si,"""munched"" is the past tense of:  munch","mâché, machonné",
6463,mushrooms,pl,"""mushrooms"" is the plural of:  mushroom",champignons,
6467,musicals,pl,"""musicals"" is the plural of:  musical",comédies musicales,
6469,musicians,pl,"""musicians"" is the plural of:  musician","musiciens, musiciennes",
6482,mysteries,pl,"""mysteries"" is the plural of:  mystery",mystères,
6491,named,si,"""named"" is the past tense of:  name","nommé, appelé",
6493,names,pl,"""names"" is the plural of:  name",noms,
6498,napkins,pl,"""napkins"" is the plural of:  napkin",serviettes de table,
6500,napped,si,"""napped"" is the past tense of:  nap",sommeiller,
6501,naps,pl,"""naps"" is the plural of:  nap",siestes,
6509,nastier,co,"""nastier"" is the comparative of :  nasty","plus sale(s), vilain(e)(s)",
6510,nastiest,su,"""nastiest"" is the superlative of:  nasty","le/la/les plus sale(s), vilain(e)(s)",
6515,national anthems,pl,"""national anthems"" is the plural of:  national anthem",hymnes nationaux,
6518,nations,pl,"""nations"" is the plural of:  nation",nations,
6530,naughtier,co,"""naughtier"" is the comparative of :  naughty","plus méchant(e)(s), désobéissant(e)(s)",
6531,naughtiest,su,"""naughtiest"" is the superlative of:  naughty","le/la/les plus méchant(e)(s), désobéissant(e)(s)",
6540,neater,co,"""neater"" is the comparative of :  neat","plus soigné(e)(s), ordonné(e)(s)",
6541,neatest,su,"""neatest"" is the superlative of:  neat","le/la/les plus soigné(e)(s), ordonné(e)(s)",
6546,necklaces,pl,"""necklaces"" is the plural of:  necklace",colliers,
6555,needed,si,"""needed"" is the past tense of:  need",(avoir) besoin,
6562,neglected,si,"""neglected"" is the past tense of:  neglect","négligé, laissé aller",
6566,negotiated,si,"""negotiated"" is the past tense of:  negotiate",négocié,
6568,negotiations,pl,"""negotiations"" is the plural of:  negotiation",négociations,
6571,neighbors,pl,"""neighbors"" is the plural of:  neighbor",voisins,
6580,nerve,noun,What nerve she had!,,Elle a un sacré caractère !
6602,newer,co,"""newer"" is the comparative of :  new","plus neuf(s), neuve(s)",
6603,newest,su,"""newest"" is the superlative of:  new","le/la/les plus neuf(s), neuve(s)",
6606,news  new,pl,"""news"" is the plural of:  new",nouveautés,
6608,newspapers,pl,"""newspapers"" is the plural of:  newspaper",journaux,
6629,nicer,co,"""nicer"" is the comparative of :  nice","plus agréable(s), gentil(s), gentille(s)",
6630,nicest,su,"""nicest"" is the superlative of:  nice","le/la/les plus agréable(s), gentil(s), gentille(s)",
6638,nightcaps,pl,"""nightcaps"" is the plural of:  nightcap",bonnets de nuit,
6641,nightmares,pl,"""nightmares"" is the plural of:  nightmare",cauchemars,
6642,nights,pl,"""nights"" is the plural of:  night",nuits,
6644,nine (9),"adjective / noun, number","Did you say ""nine degrees below zero""?",,"Avez-vous dit ""moins 9 degrés celsius"" ?"
6646,nineteenth (19th),"adjective, number",Can you have it done by the nineteenth?,,Pourrais-tu le faire pour le 19 ?
6649,ninety (90),"adjective / noun, number","Some people pronounce the number 'ninety' as though the 't' were a 'd' like this, 'ninedy'.",,Certaines personnes prononcent 'ninedy' le mot 'ninety' comme si le 't' était un 'd' 
6666,noisier,co,"""noisier"" is the comparative of :  noisy","plus bruyant(s), bruyante(s)",
6667,noisiest,su,"""noisiest"" is the superlative of:  noisy",le/la/les plus bruyant/e/s,
6681,nooks,pl,"""nooks"" is the plural of:  nook","coins, recoins",
6693,nosier,co,"""nosier"" is the comparative of : nosy","plus curieux, curieuse(s)",
6694,nosiest,su,"""nosiest"" is the superlative of: nosy","le/la/les plus curieux, curieuse(s)",
6703,notebooks,pl,"""notebooks"" is the plural of:  notebook",cahiers,
6704,noted,si,"""noted"" is the past tense of:  note",,
6712,noticed,si,"""noticed"" is the past tense of:  notice",,
6713,notified,si,"""notified"" is the past tense of:  notify",,
6720,novels,pl,"""novels"" is the plural of:  novel",romans,
6739,number,co,"""number"" is the comparative of :  numb",plus engourdi(e)(s),
6740,numbers,pl,"""numbers"" is the plural of:  number",nombres,
6741,numbest,su,"""numbest"" is the superlative of:  numb",le/la/les plus engourdi(e)(s),
6745,nurses,pl,"""nurses"" is the plural of:  nurse","infirmiers, infirmières",
6747,nuts,pl,"""nuts"" is the plural of:  nut",noix,
6757,object (verb),verb,Did he object?,,S'y est-il opposé ?
6762,obligated,si,"""obligated"" is the past tense of:  obligate","contraint, obligé",
6766,obliged,si,"""obliged"" is the past tense of:  oblige",obligé,
6770,obsessed,si,"""obsessed"" is the past tense of:  obsess",obsédé,
6775,obstructed,si,"""obstructed"" is the past tense of:  obstruct","obstrué, bloqué",
6778,obtained,si,"""obtained"" is the past tense of:  obtain",obtenu,
6787,occupied,si,"""occupied"" is the past tense of:  occupy",occupé,
6791,occurred,si,"""occurred"" is the past tense of:  occur",survenu,
6797,odder,co,"""odder"" is the comparative of :  odd","plus bizarre(s), étrange(s)",
6798,oddest,su,"""oddest"" is the superlative of:  odd","le/la/les plus bizarre(s), étrange(s)",
6813,offended,si,"""offended"" is the past tense of:  offend","blessé, offensé",
6815,offenders,pl,"""offenders"" is the plural of:  offender","délinquants, délinquantes",
6820,offered,si,"""offered"" is the past tense of:  offer",offert,
6821,offered up,si,"""offered up"" is the past tense of:  offer up",offert,
6822,offers,pl,"""offers"" is the plural of:  offer",offres,
6826,offices,pl,"""offices"" is the plural of:  office",bureaux,
6830,officials,pl,"""officials"" is the plural of:  official",fonctionnaires ,
6841,older,co,"""older"" is the comparative of : old","plus agé(e)(s), vieux, vieille(s)",
6842,older,co,"""older"" is the comparative of :  old","plus agé(e)(s), vieux,vieille(s)",
6843,oldest,su,"""oldest"" is the superlative of:  old","le/la/les plus agé(e)(s), vieux, vieille(s)",
6849,omitted,si,"""omitted"" is the past tense of:  omit",omis,
6893,opened,si,"""opened"" is the past tense of:  open",ouvert,
6894,opened up,si,"""opened up"" is the past tense of:  open up",(s'être) ouvert,
6899,operas,pl,"""operas"" is the plural of:  opera",opéras,
6903,opponents,pl,"""opponents"" is the plural of:  opponent","opposants, opposantes, adversaires",
6906,opposed,si,"""opposed"" is the past tense of:  oppose",opposé,
6910,optics,pl,"""optics"" is the plural of:  optic",optiques,
6919,oranges,pl,"""oranges"" is the plural of:  orange",oranges,
6929,ordered,si,"""ordered"" is the past tense of:  order","commandé, ordonné, réservé",
6930,orders,pl,"""orders"" is the plural of:  order",ordres,
6944,origins,pl,"""origins"" is the plural of:  origin",origines,
6983,outlaws,pl,"""outlaws"" is the plural of:  outlaw",hors-la-loi,
6986,outlined,si,"""outlined"" is the past tense of:  outline","exposé, mis en évidence",
6993,outshone,si,"""outshone"" is the past tense of:  outshine","effacé, éclipsé",
6997,outsold,si,"""outsold"" is the past tense of:  outsell",(s'être) mieux vendu,
7000,ovens,pl,"""ovens"" is the plural of:  oven",fours,
7008,overcame,si,"""overcame"" is the past tense of:  overcome","surmonté, vaincu",
7012,overcooked,si,"""overcooked"" is the past tense of:  overcook",(avoir) trop cuit,
7013,overdid,si,"""overdid"" is the past tense of:  overdo",exagéré,
7014,overdo,verb,Don't overdo it.  It's fine the way it is.,,N'exagère pas. C'est bien ainsi.
7019,overestimated,si,"""overestimated"" is the past tense of:  overestimate",surestimé,
7022,overflowed,si,"""overflowed"" is the past tense of:  overflow","inondé, débordé",
7024,overheated,si,"""overheated"" is the past tense of:  overheat",surchauffé,
7026,overloaded,si,"""overloaded"" is the past tense of:  overload",surchargé,
7029,overlooked,si,"""overlooked"" is the past tense of:  overlook","négligé, surplombé",
7031,overran,si,"""overran"" is the past tense of:  overrun",,
7033,overrated,si,"""overrated"" is the past tense of:  overrate",surfait,
7036,overreacted,si,"""overreacted"" is the past tense of:  overreact",,
7041,overshadowed,si,"""overshadowed"" is the past tense of:  overshadow",,
7043,overslept,si,"""overslept"" is the past tense of:  oversleep",,
7046,overstated,si,"""overstated"" is the past tense of:  overstate",,
7048,overthrew,si,"""overthrew"" is the past tense of:  overthrow",,
7055,overworked,si,"""overworked"" is the past tense of:  overwork",,
7058,owed,si,"""owed"" is the past tense of:  owe",devoir,
7067,owned,si,"""owned"" is the past tense of:  own",possédé,
7078,packages,pl,"""packages"" is the plural of:  package",paquets,
7080,paid,si,"""paid"" is the past tense of:  pay",payé,
7084,pains,pl,"""pains"" is the plural of:  pain","douleurs, souffrances",
7091,paintbrushes,pl,"""paintbrushes"" is the plural of:  paintbrush",pinceaux,
7092,painted,si,"""painted"" is the past tense of:  paint",peint,
7098,pairs,pl,"""pairs"" is the plural of:  pair",paires,
7099,pairs of sunglasses,pl,"""pairs of sunglasses"" is the plural of:  pair of sunglasses",paires de lunettes,
7104,paler,co,"""paler"" is the comparative of :  pale",plus pâle/s,
7105,palest,su,"""palest"" is the superlative of: pale",le/la/les plus pâle/s,
7107,pancakes,pl,"""pancakes"" is the plural of:  pancake",,
7109,panels,pl,"""panels"" is the plural of:  panel",panneaux,
7111,panicked,si,"""panicked"" is the past tense of:  panic",affolé,
7117,papers,pl,"""papers"" is the plural of:  paper",papiers,
7120,parachuted,si,"""parachuted"" is the past tense of:  parachute",parachuté,
7126,parents,pl,"""parents"" is the plural of:  parent",parents,
7137,parrots,pl,"""parrots"" is the plural of:  parrot","perroquets, perruches",
7142,participated,si,"""participated"" is the past tense of:  participate",participé,
7147,parties,pl,"""parties"" is the plural of:  party",fêtes,
7150,partners,pl,"""partners"" is the plural of:  partner",partenaires,
7157,passed,si,"""passed"" is the past tense of:  pass","passé, réussi",
7158,passed down,si,"""passed down"" is the past tense of:  pass down",,
7159,passed out,si,"""passed out"" is the past tense of:  pass out",,
7161,passengers,pl,"""passengers"" is the plural of:  passenger",passagers,
7163,passion,pl,"""passion"" is the plural of:  passion",passions,
7169,pastries,pl,"""pastries"" is the plural of:  pastry",pâtes,
7175,patented,si,"""patented"" is the past tense of:  patent",breveté,
7181,patients,pl,"""patients"" is the plural of:  patient","patients, patientes",
7184,patted,si,"""patted"" is the past tense of:  pat","tapoté, caressé",
7205,peered,si,"""peered"" is the past tense of:  peer","fixé, (avoir) regardé fixement",
7207,penalties,pl,"""penalties"" is the plural of:  penalty","pénalités, amendes",
7210,pencils,pl,"""pencils"" is the plural of:  pencil",crayons,
7216,pens,pl,"""pens"" is the plural of:  pen",stylos,
7227,perched,si,"""perched"" is the past tense of:  perch",perché,
7230,perfect,verb,Maybe she needs to perfect her accent.,,Elle a peut-être besoin de perfectionner son accent
7236,perfumes,pl,"""perfumes"" is the plural of:  perfume",parfums,
7241,permit,noun,Do I need a permit to fish here?,,Faut-il un permis pour pêcher ici ?
7243,permitted,si,"""permitted"" is the past tense of:  permit","autorisé, permis",
7246,personalities,pl,"""personalities"" is the plural of:  ""personality",personnalités,
7253,perspectives,pl,"""perspectives"" is the plural of:  perspective",perspectives,
7263,pettier,co,"""pettier"" is the comparative of :  petty","plus insignifiant(e)(s), mesquin(e)(s)",
7264,pettiest,su,"""pettiest"" is the superlative of:  petty","le/la/les plus insignifiant(e)(s), mesquin(e)(s)",
7277,phone books,pl,"""phone books"" is the plural of:  phone book",annuaires,
7278,phoned,si,"""phoned"" is the past tense of:  phone",téléphoné,
7279,phones,pl,"""phones"" is the plural of:  phone",téléphones,
7286,photos,pl,"""photos"" is the plural of:  photo",photos,
7296,pianos,pl,"""pianos"" is the plural of:  piano",pianos,
7301,picked,si,"""picked"" is the past tense of:  pick",,
7302,picked out,si,"""picked out"" is the past tense of:  pick out",,
7303,picked up,si,"""picked up"" is the past tense of: pick up",,
7305,picketed,si,"""picketed"" is the past tense of:  picket",clôturé,
7307,pickpockets,pl,"""pickpockets"" is the plural of:  pickpocket",pickpockets,
7311,pictured,si,"""pictured"" is the past tense of:  picture","(s'être) représenté, imaginé",
7312,pictures,pl,"""pictures"" is the plural of:  picture","dessins, images",
7316,pieces,pl,"""pieces"" is the plural of:  piece","morceaux, pièces",
7323,pillows,pl,"""pillows"" is the plural of:  pillow",coussins,
7326,piloted,si,"""piloted"" is the past tense of:  pilot",piloté,
7332,pinker,co,"""pinker"" is the comparative of :  pink",plus roses,
7333,pinkest,su,"""pinkest"" is the superlative of:  pink",le/la/les plus roses,
7335,pinpointed,si,"""pinpointed"" is the past tense of:  pinpoint","indiqué, localisé",
7337,pirated,si,"""pirated"" is the past tense of:  pirate",piraté,
7343,pitched,si,"""pitched"" is the past tense of:  pitch","projeté, lancé",
7347,pizzas,pl,"""pizzas"" is the plural of:  pizza",pizzas,
7355,placed,si,"""placed"" is the past tense of:  place",placé,
7364,planes,pl,"""planes"" is the plural of:  plane",avions,
7366,planned,si,"""planned"" is the past tense of:  plan",prévu ,
7368,plans,pl,"""plans"" is the plural of:  plan","projets, plans",
7372,planted,si,"""planted"" is the past tense of:  plant","planté, semé",
7377,plates,pl,"""plates"" is the plural of:  plate","assiettes, plats",
7384,played,si,"""played"" is the past tense of: play",joué,
7386,players,pl,"""players"" is the plural of:  player",joueurs,
7411,plowed,si,"""plowed"" is the past tense of:  plow",labouré,
7414,plugged,si,"""plugged"" is the past tense of:  plug",branché,
7423,pocketbooks,pl,"""pocketbooks"" is the plural of:  pocketbook",livres de poche,
7424,pockets,pl,"""pockets"" is the plural of:  pocket",poches,
7442,polished,si,"""polished"" is the past tense of:  polish","ciré, astiqué",
7446,politics,pl,"""politics"" is the plural of:  politic","politiques, diplomatiques",
7452,polls,pl,"""polls"" is the plural of:  poll","scrutins, votes",
7458,pools,pl,"""pools"" is the plural of:  pool","mares, bassins, piscines",
7461,poorer,co,"""poorer"" is the comparative of :  poor",,
7462,poorest,su,"""poorest"" is the superlative of:  poor","le/la/les plus pauvre(s), démuni(e)(s)",
7480,posed,si,"""posed"" is the past tense of:  pose",,
7483,positions,pl,"""positions"" is the plural of:  position","positions, emplacements",
7487,possibilities,pl,"""possibilities"" is the plural of:  possibility",possibilités,
7494,postcards,pl,"""postcards"" is the plural of:  postcard",cartes postales,
7500,potatoes,pl,"""potatoes"" is the plural of:  potatoe",pommes de terre,
7504,pounds,pl,"""pounds"" is the plural of:  pound",livres ,
7506,poured,si,"""poured"" is the past tense of:  pour",versé,
7519,practiced,si,"""practiced"" is the past tense of:  practice","(s'être) exercé, entraîné",
7527,preceded,si,"""preceded"" is the past tense of:  precede",précédé,
7537,preferred,si,"""preferred"" is the past tense of:  prefer",préféré,
7548,prepared,si,"""prepared"" is the past tense of:  prepare",préparé,
7561,presents,pl,"""presents"" is the plural of:  present","cadeaux, présents",
7564,presided over,si,"""presided over"" is the past tense of:  preside over","présidé, conduit",
7568,presidents,pl,"""presidents"" is the plural of:  president","présidents, présidentes",
7571,pressed,si,"""pressed"" is the past tense of: press",,
7579,prettier,co,"""prettier"" is the comparative of :  pretty","plus joli(s), jolie(s)",
7580,prettiest,su,"""prettiest"" is the superlative of:  pretty","le/la/les plus joli(s), jolie(s)",
7586,prevented,si,"""prevented"" is the past tense of:  prevent","empêché, évité",
7592,priced,si,"""priced"" is the past tense of:  price",(avoir) fixé un prix,
7594,prices,pl,"""prices"" is the plural of:  price",prix,
7602,prime ministers,pl,"""prime ministers"" is the plural of:  prime minister",premiers  ministres,
7609,printed,si,"""printed"" is the past tense of:  print",imprimé,
7615,prisoners,pl,"""prisoners"" is the plural of:  prisoner","prisonniers, prisonnières",
7620,prizes,pl,"""prizes"" is the plural of:  prize","prix, récompenses",
7627,problems,pl,"""problems"" is the plural of:  problem",problèmes,
7630,processed,si,"""processed"" is the past tense of:  process",,
7632,proclaimed,si,"""proclaimed"" is the past tense of:  proclaim",proclamé,
7635,produce,verb,We produce the best wine in the region!,,Nous produisons le meilleur vin de la région !
7637,produced,si,"""produced"" is the past tense of:  produce",produit ,
7642,products,pl,"""products"" is the plural of:  product",produits,
7648,profited,si,"""profited"" is the past tense of:  profit",(avoir) profité (à),
7649,profits,pl,"""profits"" is the plural of:  profit","profits, bénéfices",
7654,programs,pl,"""programs"" is the plural of:  program",programmes,
7662,prohibited,si,"""prohibited"" is the past tense of:  prohibit",interdit,
7664,projects,pl,"""projects"" is the plural of:  project",projets,
7667,prolonged,si,"""prolonged"" is the past tense of:  prolong","prolongé, prorogé",
7672,promised,si,"""promised"" is the past tense of:  promise",promis,
7675,promoted,si,"""promoted"" is the past tense of:  promote",promu,
7677,promotions,pl,"""promotions"" is the plural of:  promotion",promotions,
7683,pronounced,si,"""pronounced"" is the past tense of:  pronounce",prononcé,
7687,proofread,si,"""proofread"" is the past tense of:  proofread","relu, corrigé",
7694,proposals,pl,"""proposals"" is the plural of:  proposal","propositions, offres, demandes",
7696,proposed,si,"""proposed"" is the past tense of:  propose",,
7698,propositions,pl,"""propositions"" is the plural of:  proposition","propositions, affaires",
7701,protected,si,"""protected"" is the past tense of:  protect",protégé,
7709,protested,si,"""protested"" is the past tense of:  protest",protesté,
7715,proved,si,"""proved"" is the past tense of:  prove",prouvé,
7718,provided,si,"""provided"" is the past tense of:  provide",fourni,
7721,prowled,si,"""prowled"" is the past tense of:  prowl",(avoir) rôdé,
7723,psychiatrists,pl,"""psychiatrists"" is the plural of:  psychiatrist",psychiatre,
7729,publications,pl,"""publications"" is the plural of:  publication",publications,
7732,publicized,si,"""publicized"" is the past tense of:  publicize",,
7735,publishers,pl,"""publishers"" is the plural of:  publisher","éditeurs, éditrices",
7739,puddles,pl,"""puddles"" is the plural of:  puddle",flaques,
7743,pulled,si,"""pulled"" is the past tense of:  pull",tiré,
7744,pulled over,si,"""pulled over"" is the past tense of:  pull over",,
7745,pullover,"noun, clothing","""Darling, could you pull over so we can look at the map?""",,"Chéri, peux-tu t'arrêter pour que nous regardions la carte ?"
7756,purchased,si,"""purchased"" is the past tense of: purchase","acheté, acquis",
7757,purchases,pl,"""purchases"" is the plural of:  purchase",achats,
7759,purer,co,"""purer"" is the comparative of :  pure",plus pure/s,
7760,purest,su,"""purest"" is the superlative of:  pure",le/la/les plus pure/s,
7767,purred,si,"""purred"" is the past tense of:  purr",ronronné,
7770,purses,pl,"""purses"" is the plural of:  purse","porte-monnaie, sacs à main",
7772,pursued,si,"""pursued"" is the past tense of:  pursue",poursuivi,
7777,pushed,si,"""pushed"" is the past tense of:  push",poussé,
7782,put,si,"""put"" is the past tense of:  put","mis, posé",
7785,put away,si,"""put away"" is the past tense of:  put away",rangé,
7787,put back,si,"""put back"" is the past tense of:  put back",,
7789,put off,si,"""put off"" is the past tense of:  put off",,
7791,put on,si,"""put on"" is the past tense of:  put on",,
7794,put out,si,"""put out"" is the past tense of:  put out",,
7798,put through,si,"""put through"" is the past tense of:  put through",,
7800,put together,si,"""put together"" is the past tense of:  put together",rassemblé,
7802,put up with,si,"""put up with"" is the past tense of:  put up with","(s'être) accommoder de, (avoir) supporté",
7804,puzzles,pl,"""puzzles"" is the plural of:  puzzle",puzzles,
7809,qualified,si,"""qualified"" is the past tense of:  qualify",qualifié,
7811,qualities,pl,"""qualities"" is the plural of:  quality",qualités,
7817,quarters,pl,"""quarters"" is the plural of:  quarter","quarts, quartiers",
7822,quenched,si,"""quenched"" is the past tense of:  quench",étanché,
7831,questioned,si,"""questioned"" is the past tense of:  question",questionné,
7835,questions,pl,"""questions"" is the plural of:  question",questions,
7838,quicker,co,"""quicker"" is the comparative of :  quick",plus rapide/s,
7839,quickest,su,"""quickest"" is the superlative of:  quick",le/la/les plus rapide/s,
7847,quieter,co,"""quieter"" is the comparative of :  quiet","plus calme/s, silencieux/se/s",
7848,quietest,su,"""quietest"" is the superlative of:  quiet","le/la/les plus calme/s, silencieux/se/s",
7851,quit,si,"""quit"" is the past tense of:  quit",,
7857,quizzed,si,"""quizzed"" is the past tense of:  quiz",,
7860,quoted,si,"""quoted"" is the past tense of:  quote",cité,
7866,raced,si,"""raced"" is the past tense of:  race","(avoir) couru, fait la course",
7868,races,pl,"""races"" is the plural of:  race","courses, races",
7874,radii,pl,"""radii"" is the plural of:  radius",rayons,
7876,radios,pl,"""radios"" is the plural of:  radio",radios,
7883,rain,pl,"""rain"" is the plural of:  rain",pluies,
7887,raincoats,pl,"""raincoats"" is the plural of:  raincoat",imperméables,
7888,rained,si,"""rained"" is the past tense of:  rain",,
7889,rainier,co,"""rainier"" is the comparative of :  rainy","plus pluvieux, pluvieuse(s)",
7890,rainiest,su,"""rainiest"" is the superlative of:  rainy","le/la/les plus pluvieux, pluvieuse(s)",
7895,raised,si,"""raised"" is the past tense of:  raise",augmenté,
7896,raises,pl,"""raises"" is the plural of:  raise",augmentations,
7898,raisins,pl,"""raisins"" is the plural of:  raisin",raisins secs,
7900,ran into,si,"""ran into"" is the past tense of:  run into",,
7901,ran out of,si,"""ran out"" of is the past tense of:  run out of",,
7902,ran up,si,"""ran up"" is the past tense of:  run up",,
7905,rang,si,"""rang"" is the past tense of:  ring",sonné,
7908,ranged,si,"""ranged"" is the past tense of:  range","aligné, rangé",
7920,rates,pl,"""rates"" is the plural of:  rate",taux,
7923,ratified,si,"""ratified"" is the past tense of:  ratify",ratifié,
7927,rattled,si,"""rattled"" is the past tense of:  rattle",entrechoqué,
7932,razors,pl,"""razors"" is the plural of:  razor",rasoirs,
7936,reached,si,"""reached"" is the past tense of:  reach",atteint,
7938,reacted,si,"""reacted"" is the past tense of:  react",(avoir) réagi,
7940,read,si,"""read"" is the past tense of:  read",,
7958,realized,si,"""realized"" is the past tense of:  realize",(s'être) aperçu,
7963,rearranged,si,"""rearranged"" is the past tense of:  rearrange",,
